Nama Wilayah,,,,,,,,
,Garis Kemiskinan Menurut Kabupaten/Kota (Rupiah/kapita/bulan),,,,,,,
Batang Hari,341320,365365,394438,420227,450233,462468,497857,540168
Muaro Jambi,255918,295983,353583,375372,409104,425294,462035,535244
Tanjung Jabung Timur,322389,338963,361574,374735,392778,406772,468201,514905
Tanjung Jabung Barat,303479,314436,348495,364012,396113,409631,453956,499318
Tebo,338160,363698,379390,404473,435523,448461,485883,528310
Bungo,292573,310428,366226,390439,422801,436020,470545,517119
Kota Jambi,397088,413722,466854,488034,529090,563403,605556,667447
Kota Sungai Penuh,317556,334856,351391,373673,401966,426380,450708,491568
SUMATERA SELATAN,351984,370060,397150,410532,439041,457455,485069,520754
Ogan Komering Ulu,365341,380254,415785,428200,457452,481139,511887,548200
Ogan Komering Ilir,295852,310341,333505,347121,375837,393240,416417,444881
Muara Enim,316729,331554,353012,367761,390342,405782,426216,467396
Lahat,369359,385525,419658,428309,457569,485142,513085,547203
Musi Rawas,377135,392740,427595,437854,467766,493675,524110,564151
Musi Banyuasin,412591,430771,466822,486476,519797,537774,566393,593258
Banyu Asin,337391,353914,381437,397496,429816,445089,477393,509264
Ogan Komering Ulu Selatan,273594,286157,310717,319333,341148,359859,379854,413228
Ogan Komering Ulu Timur,274608,285970,312340,321629,343601,362446,383463,410548
Ogan Ilir,367067,386740,416098,433616,469746,492537,523864,571657
Empat Lawang,269211,280350,306546,315699,341007,360378,384199,411191
Penukal Abab Lematang Ilir,330907,346448,377160,388208,412236,435379,458746,487341
Musi Rawas Utara,401205,417805,456844,470485,504598,532273,565070,604903
Kota Palembang,456225,480735,510994,521489,548563,567518,597136,643356
Kota Prabumulih,466459,493871,530748,541648,569769,592210,623429,649951
Kota Pagar Alam,289493,299982,324025,328745,342738,356287,370417,408917
Kota Lubuklinggau,417192,435956,470897,477756,495213,516763,541784,583867
BENGKULU,416427,450648,481425,499660,527031,548934,590754,637142
Bengkulu Selatan,323991,346595,364888,377823,394513,408904,435955,467762
Rejang Lebong,382027,408680,434643,449999,472555,487490,530029,566433
Bengkulu Utara,333311,356566,359264,369367,387881,398746,423857,459171
Kaur,289374,310047,317558,322815,338451,350794,371660,415715
Seluma,332483,355680,377647,386321,400090,414446,444931,478617
Mukomuko,365084,388823,411795,426737,448127,464473,494426,534660
Lebong,339045,362700,389973,404368,424637,440127,472738,507046
Kepahiang,323333,348238,361281,374568,396184,410569,433660,465292
Bengkulu Tengah,342162,366034,389821,406137,431688,447435,512084,549468
Kota Bengkulu,535893,584265,642314,660442,702578,740612,785905,810507
LAMPUNG,364922,384882,402307,418309,453733,471439,514039,559011
Lampung Barat,371926,382576,391444,400662,443313,457478,495283,530803
Tanggamus,332302,341443,351167,359580,397984,410510,430697,463925
Lampung Selatan,346457,360594,375868,389236,422328,439421,470857,508494
Lampung Timur,331765,342295,352173,360610,398298,411200,433965,465856
Lampung Tengah,362475,373980,385132,394338,436777,450232,474289,503645
Lampung Utara,369628,379962,390927,400248,441045,451876,475290,510098
Way Kanan,313733,323691,333033,341012,377712,389088,409522,433471
Tulangbawang,362185,373681,384465,393676,438744,456567,486739,522396
Pesawaran,330874,347215,360909,372649,403441,420032,452521,491249
Pringsewu,379279,398830,408174,422691,458627,475983,511679,555787
Mesuji,353477,360105,370497,382020,423133,436653,459977,525183
Tulang Bawang Barat,358939,370332,384933,391096,432693,447327,476712,511418
Pesisir Barat,371724,390885,393302,407290,441917,460090,496629,545538
Kota Bandar Lampung,502968,540679,562277,588177,634743,654576,698598,761790
Kota Metro,331201,346491,360656,371636,406351,417861,449415,480830
KEP. BANGKA BELITUNG,534229,587530,631467,677716,721455,752203,801437,874204
Bangka,427684,475024,497164,541925,577093,595429,639535,685810
Belitung,610072,652989,704855,766276,812321,830484,860629,896948
Bangka Barat,440850,497567,520642,549496,589894,599887,635861,681517
Bangka Tengah,586445,653308,680907,693842,721331,735479,773509,814969
Bangka Selatan,415359,462716,483823,523155,561617,581970,621629,669016
Belitung Timur,528572,563309,622396,684277,725395,798017,854534,899482
Kota Pangkal Pinang,604011,654044,700949,748487,795653,808839,858840,894224
KEPULAUAN RIAU,490157,513237,559291,594059,614727,642425,684070,742526
Karimun,338341,354526,360087,376853,411052,422961,446856,468332
Bintan,341812,354012,367294,384396,417654,424426,447933,474674
Natuna,302043,332248,362519,378573,408164,420503,449302,480103
Lingga,387244,395089,411387,429764,472384,484088,507223,540936
Kepulauan Anambas,341556,356046,366917,382449,416877,429475,452220,481718
Kota Batam,565380,591589,650406,686956,707856,740109,783730,854465
Kota Tanjung Pinang,582414,598631,625473,659170,691738,719776,764410,771584
DKI JAKARTA,510359,536546,593108,637260,680401,697638,738955,792515
Kepulauan Seribu,520073,552622,576713,629315,661852,670785,701088,743820
Kota Jakarta Selatan,594380,620712,680167,729256,782731,792684,842630,891580
Kota Jakarta Timur,433405,455584,502152,539510,581954,594849,630842,669713
Kota Jakarta Pusat,503304,524750,580080,625177,672328,689379,733176,784679
Kota Jakarta Barat,421968,443561,490331,517646,557803,570330,599514,657247
Kota Jakarta Utara,441617,463787,512689,549506,594240,609310,645431,684557
JAWA BARAT,324992,344427,367755,386198,410988,427402,452580,495229
Bogor,317430,337550,359787,373799,402877,418483,443787,482174
Sukabumi,270055,284603,302213,309676,328284,342094,357636,392705
Cianjur,304255,320390,340882,350760,371699,387631,406829,437327
Bandung,297483,310569,334929,345177,367403,378819,398884,426069
Garut,256770,267252,282683,301202,310437,320050,335134,367681
Tasikmalaya,274470,284462,306759,311848,323880,333909,347917,378958
Ciamis,319150,334038,357382,363750,378108,389676,405294,442108
Kuningan,289901,302061,332483,340775,352358,358069,371665,402767
Cirebon,333758,346240,370747,381372,393452,404635,416914,451853
Majalengka,393071,409559,440776,445184,453201,466813,483319,520713
Sumedang,295009,307394,334743,342073,353092,360054,371870,396573
Indramayu,397196,413857,447378,458240,474807,481754,499805,532545
Subang,303583,316317,331557,339607,351885,360691,372308,404320
Purwakarta,312499,325607,352061,367273,378287,387754,403663,434187
Karawang,386282,408579,433972,440347,466152,494201,521158,555889
Bekasi,416058,434112,463507,481732,518667,549875,579221,632811
Bandung Barat,294823,309304,329415,341307,362212,374470,393956,426355
Pangandaran,327399,342672,360960,367748,382264,394101,411174,447242
Kota Bogor,416779,450078,480749,513343,547399,571425,608949,661384
Kota Sukabumi,441948,470133,497995,520742,547415,567734,594118,644276
Kota Bandung,400541,420579,448902,474448,500452,515396,545675,591124
Kota Cirebon,373866,392725,426738,444574,457954,467248,485613,520579
Kota Bekasi,521813,544534,582723,617718,657953,692885,731392,795965
Kota Depok,522934,556470,615255,644860,688194,705084,744771,804984
