Nama Wilayah,,,,,,,,
,Garis Kemiskinan Menurut Kabupaten/Kota (Rupiah/kapita/bulan),,,,,,,
Parigi Moutong,354554,366762,388440,414380,444258,458385,495623,531255
Tojo Una-Una,404437,417508,442186,472245,504889,521534,547910,597788
Sigi,283227,299261,316949,344631,370788,382579,409679,445106
Banggai Laut,296716,306611,324734,335604,359768,366005,384686,424660
Morowali Utara,379736,392811,412942,441554,474170,486511,519441,556204
Kota Palu,451437,473555,492085,522444,559246,571605,604280,632261
SULAWESI SELATAN,270601,283461,306545,329880,350264,372491,399755,436025
Kepulauan Selayar,296540,310978,348608,370380,396822,406732,430976,453432
Bulukumba,274318,284108,310753,330161,351180,369022,390040,406882
Bantaeng,223408,234286,260263,309357,340890,363342,394116,419677
Jeneponto,302113,315702,356319,359883,366453,374407,384299,405280
Takalar,286537,299721,335989,356973,364378,380564,399062,428941
Gowa,316428,333002,365503,385820,390917,408435,429222,456719
Sinjai,240245,250551,281301,294916,329819,352490,374226,397562
Maros,336579,348726,376749,405944,414324,424637,450275,510040
Pangkajene Dan Kepulauan,256549,268367,300219,322958,358061,368096,389613,416815
Barru,280316,289371,307904,322248,337047,351924,368150,400702
Bone,260552,272555,309076,325422,345009,360177,380513,408244
Soppeng,220192,225936,253457,297546,315455,341484,365650,398802
Wajo,258821,264376,297121,311017,350765,361181,375022,402351
Sidenreng Rappang,271301,276558,299332,312800,349452,360591,383134,421321
Pinrang,250163,256054,280746,294349,336346,345892,366808,400091
Enrekang,275971,283653,312674,331667,338731,352147,371669,408198
Luwu,271804,281195,305722,318911,347539,359925,381015,414118
Tana Toraja,251452,261573,299570,316911,336877,350220,366753,399202
Luwu Utara,288081,299339,329967,342277,354669,368716,382251,414548
Luwu Timur,277520,289214,315478,333739,350576,371947,394158,438178
Toraja Utara,393478,408827,309806,314426,328096,348611,364343,395731
Kota Makassar,347723,366430,386545,418831,442513,475444,511081,570286
Kota Parepare,281951,292685,308337,323839,363710,383471,402126,445032
Kota Palopo,261056,274319,292602,324233,362859,383007,403144,442276
SULAWESI TENGGARA,277288,285609,303618,327402,356444,378589,404137,443980
Buton,209245,211485,233201,254013,262541,270212,279627,302183
Muna,289049,296383,314928,342948,358333,368922,387114,419071
Konawe,260264,267331,283109,293801,323180,343781,363645,400581
Kolaka,320897,327329,349388,370036,406919,432858,448100,464000
Konawe Selatan,195175,200663,219979,235654,261382,275339,294510,331620
Bombana,266717,270627,288201,308396,325949,346726,368576,406706
Wakatobi,234351,239819,256308,278929,294440,302511,319981,340151
Kolaka Utara,388041,406334,453994,454127,494836,506903,511972,517092
Buton Utara,275544,280974,306437,331555,345039,355288,373792,403834
Konawe Utara,232307,244391,260861,273544,305100,321986,340061,381620
Kolaka Timur,314387,323956,345216,369870,405341,431179,458563,513085
Konawe Kepulauan,263229,271241,294035,314815,335414,347332,370692,393000
Muna Barat,287403,297787,315009,342811,357477,367868,382129,412697
Buton Tengah,215822,220897,231289,251702,264699,273354,275058,299593
Buton Selatan,205287,213869,214859,235847,248184,253877,264666,290203
Kota Kendari,291069,301894,327976,350647,384379,423653,454846,503369
Kota Baubau,291873,297991,311509,329977,344598,360766,376932,412008
GORONTALO,284232,296730,316296,333070,368990,389827,411906,442194
Boalemo,332297,348581,368860,385122,426961,450724,472906,525007
Gorontalo,368863,382722,409179,425827,475102,502964,531294,568430
Pohuwato,238364,247476,263617,275240,309174,327587,345924,370530
Bone Bolango,327354,339614,363982,380029,424275,449543,475874,505252
Gorontalo Utara,238621,251054,267806,278746,311200,327531,346557,371302
Kota Gorontalo,437129,452758,482585,520095,569538,598363,643531,697650
SULAWESI BARAT,286840,302852,319121,328144,350743,364251,405187,433131
Majene,320726,335248,349522,360362,384344,399350,433111,461255
Polewali Mandar,337138,351856,366355,376827,401057,416443,452836,482658
Mamasa,226202,239112,249103,256544,273513,283758,312206,329768
Mamuju,223150,241616,252429,259969,277078,287896,319586,340795
Mamuju Utara,312474,328100,330226,332145,354115,367941,404318,432269
Mamuju Tengah,215769,226559,236699,239592,255440,265413,290030,309227
MALUKU,414302,436865,456457,508777,555197,587730,631326,684020
Maluku Tenggara Barat,319120,339801,398729,423823,479402,506106,546300,615768
Maluku Tenggara,350661,373386,436927,464649,517821,549047,595041,669140
Maluku Tengah,405118,424632,431512,474224,503800,515582,542782,589125
Buru,396313,415403,420083,463169,492055,503254,530858,584277
Kepulauan Aru,337180,352151,412665,438848,490565,516604,562416,626086
Seram Bagian Barat,334729,350853,359085,394628,419793,427355,449297,486747
Seram Bagian Timur,319266,334645,341261,375040,398430,403573,421902,458176
Maluku Barat Daya,352004,374816,441211,468842,521899,535594,586021,658036
Buru Selatan,514124,542036,542747,596469,628659,644441,677044,743721
Kota Ambon,486931,514690,532719,571315,596042,621482,661016,716560
Kota Tual,345670,372731,510231,535425,574105,600172,640542,722498
MALUKU UTARA,376554,390998,412266,444650,462639,489375,514383,564733
Halmahera Barat,293118,302921,316381,324849,339283,358707,379108,414870
Halmahera Tengah,397379,410708,429805,454180,466973,491657,507555,552350
Kepulauan Sula,315133,320854,337543,359497,372561,391912,414512,453476
Halmahera Selatan,266155,273849,290627,310161,324767,343323,362100,400768
Halmahera Utara,208832,215837,228092,238878,248544,263507,301041,378968
Halmahera Timur,494245,509725,510899,545238,569464,600339,624983,631233
Pulau Morotai,229343,236532,249242,265761,276746,291879,301712,379931
Pulau Taliabu,331968,342401,360955,387664,401710,425241,448735,491203
Kota Ternate,489810,514396,537524,578185,595553,629463,661459,668074
Kota Tidore Kepulauan,368796,387307,404721,435277,448352,472651,484983,540752
PAPUA BARAT,474967,499778,516362,573313,610888,631418,665604,728619
Fakfak,446531,473950,498184,544783,578510,596406,628418,671021
Kaimana,342293,363581,386576,412130,438991,450301,511011,609865
Teluk Wondama,456709,488233,508345,557702,588838,597676,614573,659187
Teluk Bintuni,549169,583323,587770,644838,683667,693305,716834,787048
Manokwari,517296,547494,575114,629074,651032,663438,690028,752635
Sorong Selatan,286318,297684,306803,323369,347898,358864,422694,506944
Sorong,316088,329106,339187,357900,379951,388166,466380,559363
Raja Ampat,305019,317416,326050,347203,374488,388021,464797,557107
Tambrauw,291576,308298,329708,362884,393268,399421,485342,528817
Maybrat,300860,319571,335912,359500,383715,396386,479977,515069
Manokwari Selatan,525241,557907,578734,635595,678494,686235,702674,719773
Pegunungan Arfak,552153,586493,589168,628281,670687,683722,706497,723662
Kota Sorong,625071,657148,668533,725117,765183,791155,827339,889486
PAPUA BARAT DAYA,-,-,-,-,20222,-,-,-
Raja Ampat,-,-,-,-,-,-,-,-
Sorong,-,-,-,-,-,-,-,-
Sorong Selatan,-,-,-,-,-,-,-,-
Maybrat,-,-,-,-,-,-,-,-
Tambrauw,-,-,-,-,-,-,-,-
Kota Sorong,-,-,-,-,-,-,-,-
PAPUA,427176,457541,499463,540099,562992,591959,629175,686469
Merauke,310420,342842,345965,346502,366296,387443,408710,434596
Jayawijaya,367804,406219,409846,420471,461058,501075,524173,566319
Jayapura,464519,489932,549489,589521,601005,624845,651581,706549
Nabire,520951,575361,579470,579753,612872,665325,705953,771751
Kepulauan Yapen,536501,592535,600161,618487,653819,688204,716343,757676
Biak Numfor,491278,521782,528498,543971,574402,602931,627921,657182
Paniai,418520,461606,465658,479877,512058,556861,591595,654960
Puncak Jaya,526756,581537,589022,604945,639503,708658,744762,823079
Mimika,634370,684282,762184,836301,870355,936862,1002327,1056252
Boven Digoel,406678,444813,452723,458012,486179,520245,550445,585228
Mappi,273699,300400,301237,330427,351801,375922,402212,427352
Asmat,316437,349487,354478,364728,383790,405368,424978,450237
Yahukimo,320783,338613,379628,414936,428433,466113,496222,549772
Pegunungan Bintang,431818,455819,511229,560354,580393,632210,692059,766275
Tolikara,228288,252132,371589,382936,404812,441994,472692,525770
Sarmi,399291,421484,472720,518491,535586,554491,584626,633124
Keerom,504460,532499,597230,655056,677050,704998,744805,807097
Waropen,567808,627112,632478,655060,691544,731467,769979,810167
Supiori,388523,429102,434625,447524,471401,498615,526482,554954
Mamberamo Raya,591595,658412,666886,683779,727830,769848,803286,834564
Nduga *,296287,327233,331445,341566,360779,392990,420185,475682
Lanny Jaya,405347,446061,451802,464328,490508,537322,564670,625677
Mamberamo Tengah,336736,370978,375753,388619,412574,449409,475436,526584
Yalimo,286170,316059,320971,330040,347171,378167,395868,434256
Puncak,545506,602481,611369,630074,664865,721541,754778,836828
Dogiyai,427149,471762,477674,492905,512654,557009,592213,653007
Intan Jaya,542007,598436,606138,627128,662465,725106,769993,853098
Deiyai,503898,556281,561857,579263,608868,627742,647902,709749
Kota Jayapura,805746,849496,944479,992610,1021759,1051297,1099019,1147265
PAPUA SELATAN,-,-,-,-,-,-,-,-
Merauke,-,-,-,-,-,-,-,-
Boven Digoel,-,-,-,-,-,-,-,-
Mappi,-,-,-,-,-,-,-,-
Asmat,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-
Mimika,-,-,-,-,-,-,-,-
Dogiyai,-,-,-,-,-,-,-,-
Deiyai,-,-,-,-,-,-,-,-
Nabire,-,-,-,-,-,-,-,-
Paniai,-,-,-,-,-,-,-,-
Intan Jaya,-,-,-,-,-,-,-,-
Puncak,-,-,-,-,-,-,-,-
Puncak Jaya,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-
Nduga,-,-,-,-,-,-,-,-
Jayawijaya,-,-,-,-,-,-,-,-
Lanny Jaya,-,-,-,-,-,-,-,-
Tolikara,-,-,-,-,-,-,-,-
Mamberamo Tengah,-,-,-,-,-,-,-,-
Yalimo,-,-,-,-,-,-,-,-
Yahukimo,-,-,-,-,-,-,-,-
Pegunungan Bintang,-,-,-,-,-,-,-,-
